Selection,View,Channel,Low Freq (Hz),High Freq (Hz),Begin File,Delta Time (s),File Offset (s),Call Variant ,Level, Calls Overlap?,Call Cutoff @ End?,Notes
43,Waveform 1,1,0.0,197.3,9525.DSG_RAWD_HMS_13_35_ 0__DMY_ 8_ 9_15.wav,0.1205,0.1251,3,1,1,,
45,Waveform 1,1,0.0,250.8,9528.DSG_RAWD_HMS_13_50_ 0__DMY_ 8_ 9_15.wav,0.1728,9.6198,3,1,1,,
49,Waveform 1,1,1.5,235.5,9532.DSG_RAWD_HMS_14_10_ 0__DMY_ 8_ 9_15.wav,2.6841,2.9419,2,1,2,,
50,Waveform 1,1,5.8,1005.8,9532.DSG_RAWD_HMS_14_10_ 0__DMY_ 8_ 9_15.wav,0.5465,7.7758,3,1,2,,
58,Waveform 1,1,20.3,203.5,9535.DSG_RAWD_HMS_14_25_ 0__DMY_ 8_ 9_15.wav,2.4551,0.0003,1,1,2,,
59,Waveform 1,1,7.3,245.6,9535.DSG_RAWD_HMS_14_25_ 0__DMY_ 8_ 9_15.wav,3.3793,3.0963,2,1,2,,
61,Waveform 1,1,10.2,191.9,9535.DSG_RAWD_HMS_14_25_ 0__DMY_ 8_ 9_15.wav,4.3678,10.6465,1,1,2,,
63,Waveform 1,1,1.5,173.0,9537.DSG_RAWD_HMS_14_35_ 0__DMY_ 8_ 9_15.wav,0.2009,6.4982,3,1,2,,
64,Waveform 1,1,0.0,311.0,9538.DSG_RAWD_HMS_14_40_ 0__DMY_ 8_ 9_15.wav,0.1607,7.7304,3,1,2,,
66,Waveform 1,1,17.4,266.0,9539.DSG_RAWD_HMS_14_45_ 0__DMY_ 8_ 9_15.wav,3.7168,0.2592,2,1,2,,
69,Waveform 1,1,0.0,245.6,9541.DSG_RAWD_HMS_14_55_ 0__DMY_ 8_ 9_15.wav,2.7123,0.0024,1,1,2,,
70,Waveform 1,1,0.0,241.3,9541.DSG_RAWD_HMS_14_55_ 0__DMY_ 8_ 9_15.wav,0.1848,2.7749,3,1,2,2.0,
71,Waveform 1,1,2.1,378.2,9541.DSG_RAWD_HMS_14_55_ 0__DMY_ 8_ 9_15.wav,0.225,4.6313,3,1,2,,
72,Waveform 1,1,0.0,641.3,9542.DSG_RAWD_HMS_15_ 0_ 0__DMY_ 8_ 9_15.wav,0.3215,1.4595,3,1,2,,
73,Waveform 1,1,0.0,707.1,9542.DSG_RAWD_HMS_15_ 0_ 0__DMY_ 8_ 9_15.wav,0.1969,3.2798,3,1,2,,
82,Waveform 1,1,1.5,287.8,9548.DSG_RAWD_HMS_15_30_ 0__DMY_ 8_ 9_15.wav,0.1051,4.1821,3,1,1,,
5,Waveform 1,1,46.5,155.5,9501.DSG_RAWD_HMS_11_35_ 0__DMY_ 8_ 9_15.wav,1.4265,1.2,1,2,2,2.0,
7,Waveform 1,1,0.0,158.4,9503.DSG_RAWD_HMS_11_45_ 0__DMY_ 8_ 9_15.wav,0.1848,5.5689,3,2,2,2.0,
11,Waveform 1,1,0.0,162.8,9506.DSG_RAWD_HMS_12_ 0_ 0__DMY_ 8_ 9_15.wav,0.1527,4.4617,3,2,2,,
12,Waveform 1,1,20.3,170.1,9507.DSG_RAWD_HMS_12_ 5_ 0__DMY_ 8_ 9_15.wav,1.3622,0.0041,1,2,2,,
13,Waveform 1,1,17.4,186.0,9507.DSG_RAWD_HMS_12_ 5_ 0__DMY_ 8_ 9_15.wav,4.3813,6.2294,1,2,1,,
17,Waveform 1,1,0.0,193.3,9508.DSG_RAWD_HMS_12_10_ 0__DMY_ 8_ 9_15.wav,1.0513,10.6443,1,2,2,,
21,Waveform 1,1,20.3,159.9,9509.DSG_RAWD_HMS_12_15_ 0__DMY_ 8_ 9_15.wav,1.8696,6.6717,1,2,2,,
22,Waveform 1,1,13.1,165.7,9510.DSG_RAWD_HMS_12_20_ 0__DMY_ 8_ 9_15.wav,0.1447,6.7031,3,2,2,,
23,Waveform 1,1,0.0,171.5,9510.DSG_RAWD_HMS_12_20_ 0__DMY_ 8_ 9_15.wav,0.1487,7.1611,3,2,2,,
24,Waveform 1,1,0.0,149.7,9511.DSG_RAWD_HMS_12_25_ 0__DMY_ 8_ 9_15.wav,2.0573,1.4981,1,2,2,,
25,Waveform 1,1,14.5,187.5,9513.DSG_RAWD_HMS_12_35_ 0__DMY_ 8_ 9_15.wav,1.7881,0.0166,1,2,1,,
30,Waveform 1,1,1.5,167.2,9517.DSG_RAWD_HMS_12_55_ 0__DMY_ 8_ 9_15.wav,0.1567,7.8996,3,2,2,,
31,Waveform 1,1,4.4,215.1,9517.DSG_RAWD_HMS_12_55_ 0__DMY_ 8_ 9_15.wav,0.1447,10.2462,3,2,2,,
32,Waveform 1,1,0.0,162.8,9518.DSG_RAWD_HMS_13_ 0_ 0__DMY_ 8_ 9_15.wav,2.5556,3.5103,2,2,2,,
33,Waveform 1,1,20.3,157.0,9518.DSG_RAWD_HMS_13_ 0_ 0__DMY_ 8_ 9_15.wav,2.3225,7.412,2,2,2,,
34,Waveform 1,1,0.0,152.6,9519.DSG_RAWD_HMS_13_ 5_ 0__DMY_ 8_ 9_15.wav,0.1366,7.8566,3,2,2,,
35,Waveform 1,1,0.0,151.2,9519.DSG_RAWD_HMS_13_ 5_ 0__DMY_ 8_ 9_15.wav,0.1447,10.5688,3,2,2,,
41,Waveform 1,1,0.0,252.8,9523.DSG_RAWD_HMS_13_25_ 0__DMY_ 8_ 9_15.wav,0.1447,8.5621,3,2,2,,
42,Waveform 1,1,7.2,161.4,9525.DSG_RAWD_HMS_13_35_ 0__DMY_ 8_ 9_15.wav,1.322,0.0005,1,2,1,,
44,Waveform 1,1,0.0,185.0,9527.DSG_RAWD_HMS_13_45_ 0__DMY_ 8_ 9_15.wav,0.1205,1.5125,3,2,2,,
46,Waveform 1,1,0.0,888.0,9529.DSG_RAWD_HMS_13_55_ 0__DMY_ 8_ 9_15.wav,0.7273,8.3386,4,2,1,,
48,Waveform 1,1,11.6,149.7,9530.DSG_RAWD_HMS_14_ 0_ 0__DMY_ 8_ 9_15.wav,2.9373,1.5826,2,2,2,,
52,Waveform 1,1,0.0,264.5,9532.DSG_RAWD_HMS_14_10_ 0__DMY_ 8_ 9_15.wav,0.2331,9.2745,3,2,2,,
53,Waveform 1,1,33.4,189.0,9533.DSG_RAWD_HMS_14_15_ 0__DMY_ 8_ 9_15.wav,1.6997,0.2724,2,2,2,,
54,Waveform 1,1,14.5,162.8,9534.DSG_RAWD_HMS_14_20_ 0__DMY_ 8_ 9_15.wav,1.6033,0.0018,2,2,2,,
55,Waveform 1,1,4.4,222.4,9534.DSG_RAWD_HMS_14_20_ 0__DMY_ 8_ 9_15.wav,0.213,2.1796,3,2,2,,
56,Waveform 1,1,26.2,139.5,9534.DSG_RAWD_HMS_14_20_ 0__DMY_ 8_ 9_15.wav,2.1296,4.9361,1,2,2,,
57,Waveform 1,1,0.0,210.8,9534.DSG_RAWD_HMS_14_20_ 0__DMY_ 8_ 9_15.wav,0.1205,10.1436,3,2,2,,
60,Waveform 1,1,11.6,238.4,9535.DSG_RAWD_HMS_14_25_ 0__DMY_ 8_ 9_15.wav,3.1824,6.6082,1,2,2,,
62,Waveform 1,1,8.7,173.0,9537.DSG_RAWD_HMS_14_35_ 0__DMY_ 8_ 9_15.wav,2.9775,0.0089,1,2,2,,
65,Waveform 1,1,22.6,182.9,9538.DSG_RAWD_HMS_14_40_ 0__DMY_ 8_ 9_15.wav,1.7198,8.9238,1,2,2,,
68,Waveform 1,1,1.5,184.6,9540.DSG_RAWD_HMS_14_50_ 0__DMY_ 8_ 9_15.wav,1.5668,1.9891,2,2,2,,
74,Waveform 1,1,1.5,268.9,9543.DSG_RAWD_HMS_15_ 5_ 0__DMY_ 8_ 9_15.wav,0.1366,2.8203,3,2,2,,
76,Waveform 1,1,14.5,171.5,9545.DSG_RAWD_HMS_15_15_ 0__DMY_ 8_ 9_15.wav,2.6055,6.3328,1,2,2,,
77,Waveform 1,1,0.0,181.7,9546.DSG_RAWD_HMS_15_20_ 0__DMY_ 8_ 9_15.wav,0.1563,10.3885,3,2,2,,
78,Waveform 1,1,32.0,173.0,9547.DSG_RAWD_HMS_15_25_ 0__DMY_ 8_ 9_15.wav,2.1651,2.7876,1,2,2,,
79,Waveform 1,1,2.9,303.8,9548.DSG_RAWD_HMS_15_30_ 0__DMY_ 8_ 9_15.wav,2.4946,2.1222,1,2,1,,
4,Waveform 1,1,45.1,110.5,9500.DSG_RAWD_HMS_11_30_ 0__DMY_ 8_ 9_15.wav,1.6515,8.9646,1,3,2,2.0,
8,Waveform 1,1,21.8,151.2,9503.DSG_RAWD_HMS_11_45_ 0__DMY_ 8_ 9_15.wav,2.2221,6.6418,2,3,2,2.0,
9,Waveform 1,1,24.7,181.7,9505.DSG_RAWD_HMS_11_55_ 0__DMY_ 8_ 9_15.wav,2.8891,7.7459,1,3,2,2.0,
26,Waveform 1,1,0.0,270.3,9513.DSG_RAWD_HMS_12_35_ 0__DMY_ 8_ 9_15.wav,0.1728,0.4465,3,3,1,2.0,
28,Waveform 1,1,27.6,162.8,9513.DSG_RAWD_HMS_12_35_ 0__DMY_ 8_ 9_15.wav,3.1101,5.7797,2,3,2,2.0,
29,Waveform 1,1,11.6,197.7,9514.DSG_RAWD_HMS_12_40_ 0__DMY_ 8_ 9_15.wav,0.1487,3.9058,3,3,2,2.0,
47,Waveform 1,1,17.4,186.0,9529.DSG_RAWD_HMS_13_55_ 0__DMY_ 8_ 9_15.wav,2.5073,6.9523,1,3,1,2.0,
51,Waveform 1,1,4.4,216.6,9532.DSG_RAWD_HMS_14_10_ 0__DMY_ 8_ 9_15.wav,0.2049,8.6517,3,3,2,1.0,Very Hot Call
67,Waveform 1,1,13.1,184.6,9539.DSG_RAWD_HMS_14_45_ 0__DMY_ 8_ 9_15.wav,3.1408,7.4919,1,3,2,2.0,
75,Waveform 1,1,17.4,149.7,9543.DSG_RAWD_HMS_15_ 5_ 0__DMY_ 8_ 9_15.wav,2.4029,8.2408,1,3,2,2.0,
83,Waveform 1,1,17.4,220.9,9549.DSG_RAWD_HMS_15_35_ 0__DMY_ 8_ 9_15.wav,1.9463,5.0738,2,3,2,2.0,
84,Waveform 1,1,2.9,164.2,9549.DSG_RAWD_HMS_15_35_ 0__DMY_ 8_ 9_15.wav,0.1534,7.0329,3,1,2,2.0,
