Selection,View,Channel,Low Freq (Hz),High Freq (Hz),Begin File,Delta Time (s),File Offset (s),Call Variant,Level,Call Overlap,Call Cutoff At End?,Notes
18,Waveform 1,1,0.0,249.1,1459.DSG_RAWD_HMS_13_25_ 0__DMY_11_ 8_15.wav,2.5332,0.0049,1,1,2,1.0,
19,Waveform 1,1,0.0,428.5,1458.DSG_RAWD_HMS_13_20_ 0__DMY_11_ 8_15.wav,0.3111,9.7805,3,1,2,2.0,
20,Waveform 1,1,41.7,214.0,1460.DSG_RAWD_HMS_13_30_ 0__DMY_11_ 8_15.wav,2.348,0.6436,1,3,2,2.0,
21,Waveform 1,1,32.2,185.6,1461.DSG_RAWD_HMS_13_35_ 0__DMY_11_ 8_15.wav,1.5777,0.0232,1,3,2,1.0,
22,Waveform 1,1,13.3,212.1,1462.DSG_RAWD_HMS_13_40_ 0__DMY_11_ 8_15.wav,4.385,6.2171,1,2,2,2.0,
23,Waveform 1,1,0.0,1378.0,1465.DSG_RAWD_HMS_13_55_ 0__DMY_11_ 8_15.wav,0.1407,6.6223,3,1,2,2.0,
24,Waveform 1,1,1.6,189.1,1467.DSG_RAWD_HMS_14_ 5_ 0__DMY_11_ 8_15.wav,2.4826,1.1356,2,2,2,2.0,
25,Waveform 1,1,30.4,161.9,1467.DSG_RAWD_HMS_14_ 5_ 0__DMY_11_ 8_15.wav,1.9588,4.0372,1,3,2,2.0,
26,Waveform 1,1,0.0,302.9,1468.DSG_RAWD_HMS_14_10_ 0__DMY_11_ 8_15.wav,0.309,5.5125,3,1,2,2.0,
27,Waveform 1,1,11.2,193.9,1469.DSG_RAWD_HMS_14_15_ 0__DMY_11_ 8_15.wav,2.7576,0.286,2,2,2,2.0,
28,Waveform 1,1,0.0,283.7,1468.DSG_RAWD_HMS_14_10_ 0__DMY_11_ 8_15.wav,2.2364,8.2854,99,1,2,2.0,
32,Waveform 1,1,0.0,189.1,1469.DSG_RAWD_HMS_14_15_ 0__DMY_11_ 8_15.wav,4.0591,3.1116,2,1,2,2.0,
33,Waveform 1,1,0.0,184.3,1469.DSG_RAWD_HMS_14_15_ 0__DMY_11_ 8_15.wav,2.933,7.4012,1,1,2,2.0,
34,Waveform 1,1,0.0,197.1,1471.DSG_RAWD_HMS_14_25_ 0__DMY_11_ 8_15.wav,2.6921,0.1753,2,2,2,2.0,
35,Waveform 1,1,0.0,769.2,1471.DSG_RAWD_HMS_14_25_ 0__DMY_11_ 8_15.wav,0.6756,8.1207,4,2,2,2.0,
36,Waveform 1,1,0.0,219.6,1472.DSG_RAWD_HMS_14_30_ 0__DMY_11_ 8_15.wav,0.1362,0.0742,3,2,2,2.0,
37,Waveform 1,1,0.0,171.5,1472.DSG_RAWD_HMS_14_30_ 0__DMY_11_ 8_15.wav,2.8964,6.485,2,2,1,2.0,
38,Waveform 1,1,19.2,176.3,1473.DSG_RAWD_HMS_14_35_ 0__DMY_11_ 8_15.wav,4.1482,3.8384,1,3,2,2.0,
39,Waveform 1,1,0.0,193.9,1474.DSG_RAWD_HMS_14_40_ 0__DMY_11_ 8_15.wav,2.0165,2.3441,2,1,2,2.0,
40,Waveform 1,1,1.6,209.9,1474.DSG_RAWD_HMS_14_40_ 0__DMY_11_ 8_15.wav,1.9274,0.3905,2,1,2,2.0,
41,Waveform 1,1,6.4,160.3,1475.DSG_RAWD_HMS_14_45_ 0__DMY_11_ 8_15.wav,3.7396,0.5407,2,2,2,2.0,
42,Waveform 1,1,0.0,217.9,1476.DSG_RAWD_HMS_14_50_ 0__DMY_11_ 8_15.wav,2.2836,5.4048,2,2,2,2.0,
43,Waveform 1,1,0.0,200.3,1476.DSG_RAWD_HMS_14_50_ 0__DMY_11_ 8_15.wav,1.6917,8.9402,2,1,2,2.0,
44,Waveform 1,1,0.0,176.3,1480.DSG_RAWD_HMS_15_10_ 0__DMY_11_ 8_15.wav,0.1781,6.0321,3,1,2,2.0,
45,Waveform 1,1,1.6,187.5,1480.DSG_RAWD_HMS_15_10_ 0__DMY_11_ 8_15.wav,0.199,6.362,3,1,2,2.0,
46,Waveform 1,1,0.0,187.5,1480.DSG_RAWD_HMS_15_10_ 0__DMY_11_ 8_15.wav,0.1728,9.3422,3,1,2,2.0,
47,Waveform 1,1,3.2,206.7,1481.DSG_RAWD_HMS_15_15_ 0__DMY_11_ 8_15.wav,4.5462,1.9504,2,1,2,2.0,
48,Waveform 1,1,8.0,184.3,1481.DSG_RAWD_HMS_15_15_ 0__DMY_11_ 8_15.wav,1.9065,8.7828,1,1,2,2.0,
49,Waveform 1,1,0.0,168.3,1482.DSG_RAWD_HMS_15_20_ 0__DMY_11_ 8_15.wav,3.8129,3.4965,1,2,1,1.0,
50,Waveform 1,1,9.6,173.1,1483.DSG_RAWD_HMS_15_25_ 0__DMY_11_ 8_15.wav,1.9798,0.0092,2,3,2,1.0,
51,Waveform 1,1,8.0,174.7,1484.DSG_RAWD_HMS_15_30_ 0__DMY_11_ 8_15.wav,21.2697,0.0181,5,2,1,1.0,
54,Waveform 1,1,11.2,176.3,1491.DSG_RAWD_HMS_16_ 5_ 0__DMY_11_ 8_15.wav,3.7553,6.8627,2,2,2,1.0,
59,Waveform 1,1,4.8,184.3,1492.DSG_RAWD_HMS_16_10_ 0__DMY_11_ 8_15.wav,4.6143,1.8958,2,2,2,2.0,
60,Waveform 1,1,8.0,150.6,1493.DSG_RAWD_HMS_16_15_ 0__DMY_11_ 8_15.wav,2.6816,1.2552,1,2,2,2.0,
61,Waveform 1,1,0.0,237.2,1493.DSG_RAWD_HMS_16_15_ 0__DMY_11_ 8_15.wav,0.1624,9.9129,3,1,2,2.0,
63,Waveform 1,1,0.0,242.0,1496.DSG_RAWD_HMS_16_30_ 0__DMY_11_ 8_15.wav,4.6876,0.0143,1,1,2,1.0,
64,Waveform 1,1,0.0,221.2,1497.DSG_RAWD_HMS_16_35_ 0__DMY_11_ 8_15.wav,5.9499,0.0022,1,1,2,2.0,
66,Waveform 1,1,0.0,775.6,1499.DSG_RAWD_HMS_16_45_ 0__DMY_11_ 8_15.wav,1.1313,8.4052,4,1,2,,
