Selection,View,Channel,Low Freq (Hz),High Freq (Hz),Begin File,Delta Time (s),File Offset (s),Call Variant,Level,Call Overlap,Call Cutoff at End?,Notes
15,Waveform 1,1,7.9,165.7,9562.DSG_RAWD_HMS_16_40_ 0__DMY_ 8_ 9_15.wav,3.2456,3.3717,2,2,2,2.0,
16,Waveform 1,1,0.0,183.8,9562.DSG_RAWD_HMS_16_40_ 0__DMY_ 8_ 9_15.wav,0.2513,7.2347,3,1,2,2.0,
17,Waveform 1,1,28.2,180.4,9564.DSG_RAWD_HMS_16_50_ 0__DMY_ 8_ 9_15.wav,2.4369,8.0101,1,1,2,2.0,
18,Waveform 1,1,28.2,166.9,9566.DSG_RAWD_HMS_17_ 0_ 0__DMY_ 8_ 9_15.wav,2.3714,7.8784,1,2,2,2.0,
19,Waveform 1,1,9.0,191.7,9568.DSG_RAWD_HMS_17_10_ 0__DMY_ 8_ 9_15.wav,3.7155,1.9659,1,2,2,2.0,
20,Waveform 1,1,2.3,164.6,9568.DSG_RAWD_HMS_17_10_ 0__DMY_ 8_ 9_15.wav,0.2022,5.7251,3,2,2,2.0,
21,Waveform 1,1,23.7,164.6,9568.DSG_RAWD_HMS_17_10_ 0__DMY_ 8_ 9_15.wav,2.4588,8.1784,1,2,2,1.0,
22,Waveform 1,1,25.9,187.1,9569.DSG_RAWD_HMS_17_15_ 0__DMY_ 8_ 9_15.wav,2.579,2.0804,1,3,2,2.0,
23,Waveform 1,1,9.6,218.4,9569.DSG_RAWD_HMS_17_15_ 0__DMY_ 8_ 9_15.wav,2.2894,8.3749,1,2,2,1.0,Has a bit of a spawning rush characteristic to it
24,Waveform 1,1,0.0,259.9,9571.DSG_RAWD_HMS_17_25_ 0__DMY_ 8_ 9_15.wav,0.306,6.6969,3,1,2,2.0,
25,Waveform 1,1,31.9,180.2,9571.DSG_RAWD_HMS_17_25_ 0__DMY_ 8_ 9_15.wav,3.3221,7.3089,1,1,2,2.0,
26,Waveform 1,1,1.6,208.9,9573.DSG_RAWD_HMS_17_35_ 0__DMY_ 8_ 9_15.wav,2.8358,6.1883,2,1,2,2.0,
27,Waveform 1,1,11.2,205.7,9573.DSG_RAWD_HMS_17_35_ 0__DMY_ 8_ 9_15.wav,1.213,4.9643,1,1,2,2.0,
28,Waveform 1,1,1.6,202.5,9574.DSG_RAWD_HMS_17_40_ 0__DMY_ 8_ 9_15.wav,1.7485,8.2589,2,1,2,2.0,
29,Waveform 1,1,6.4,181.8,9575.DSG_RAWD_HMS_17_45_ 0__DMY_ 8_ 9_15.wav,1.8578,0.7237,2,2,2,2.0,
30,Waveform 1,1,8.0,177.0,9575.DSG_RAWD_HMS_17_45_ 0__DMY_ 8_ 9_15.wav,3.0107,2.6034,2,1,2,2.0,
31,Waveform 1,1,4.8,215.2,9575.DSG_RAWD_HMS_17_45_ 0__DMY_ 8_ 9_15.wav,2.4971,7.2751,1,1,2,2.0,
32,Waveform 1,1,30.3,208.9,9575.DSG_RAWD_HMS_17_45_ 0__DMY_ 8_ 9_15.wav,3.4642,9.8541,1,1,2,1.0,
33,Waveform 1,1,4.8,177.0,9577.DSG_RAWD_HMS_17_55_ 0__DMY_ 8_ 9_15.wav,3.2565,3.723,2,2,2,2.0,
34,Waveform 1,1,25.5,154.7,9578.DSG_RAWD_HMS_18_ 0_ 0__DMY_ 8_ 9_15.wav,2.508,6.3181,1,3,2,2.0,
35,Waveform 1,1,8.0,231.2,9579.DSG_RAWD_HMS_18_ 5_ 0__DMY_ 8_ 9_15.wav,2.4206,4.2743,2,1,2,2.0,
36,Waveform 1,1,12.8,204.1,9579.DSG_RAWD_HMS_18_ 5_ 0__DMY_ 8_ 9_15.wav,2.4861,8.1483,1,3,2,2.0,
37,Waveform 1,1,1.6,207.3,9580.DSG_RAWD_HMS_18_10_ 0__DMY_ 8_ 9_15.wav,2.2621,8.0879,2,2,2,2.0,
38,Waveform 1,1,30.3,172.2,9581.DSG_RAWD_HMS_18_15_ 0__DMY_ 8_ 9_15.wav,2.9232,1.5855,1,3,2,2.0,
39,Waveform 1,1,9.6,228.0,9582.DSG_RAWD_HMS_18_20_ 0__DMY_ 8_ 9_15.wav,4.3985,0.405,2,1,2,2.0,Very Hot Call
40,Waveform 1,1,9.6,199.3,9583.DSG_RAWD_HMS_18_25_ 0__DMY_ 8_ 9_15.wav,2.8467,4.5629,2,2,2,2.0,
41,Waveform 1,1,8.0,204.1,9584.DSG_RAWD_HMS_18_30_ 0__DMY_ 8_ 9_15.wav,2.6446,0.7378,2,1,2,2.0,
42,Waveform 1,1,0.0,279.0,9584.DSG_RAWD_HMS_18_30_ 0__DMY_ 8_ 9_15.wav,10.6384,0.0111,6,2,1,1.0,
43,Waveform 1,1,1.6,192.9,9585.DSG_RAWD_HMS_18_35_ 0__DMY_ 8_ 9_15.wav,2.6063,1.6418,2,1,2,2.0,
44,Waveform 1,1,12.8,239.2,9587.DSG_RAWD_HMS_18_45_ 0__DMY_ 8_ 9_15.wav,1.9616,0.0023,1,1,2,2.0,
45,Waveform 1,1,23.9,169.0,9587.DSG_RAWD_HMS_18_45_ 0__DMY_ 8_ 9_15.wav,1.7485,3.9091,1,2,2,2.0,
46,Waveform 1,1,20.7,165.8,9587.DSG_RAWD_HMS_18_45_ 0__DMY_ 8_ 9_15.wav,1.9179,6.1876,1,2,2,2.0,
52,Waveform 1,1,11.2,183.4,9589.DSG_RAWD_HMS_18_55_ 0__DMY_ 8_ 9_15.wav,2.1364,7.4984,1,1,2,2.0,
53,Waveform 1,1,6.4,189.7,9590.DSG_RAWD_HMS_19_ 0_ 0__DMY_ 8_ 9_15.wav,2.803,2.4549,2,1,2,2.0,
54,Waveform 1,1,0.0,931.1,9592.DSG_RAWD_HMS_19_10_ 0__DMY_ 8_ 9_15.wav,1.1474,4.4433,4,1,1,2.0,
55,Waveform 1,1,0.0,780.2,9592.DSG_RAWD_HMS_19_10_ 0__DMY_ 8_ 9_15.wav,1.0163,7.2736,4,1,1,2.0,
56,Waveform 1,1,18.0,173.6,9592.DSG_RAWD_HMS_19_10_ 0__DMY_ 8_ 9_15.wav,3.1527,1.2621,1,2,2,2.0,
57,Waveform 1,1,0.0,223.2,9594.DSG_RAWD_HMS_19_20_ 0__DMY_ 8_ 9_15.wav,3.8095,4.099,2,2,2,2.0,
58,Waveform 1,1,4.8,208.9,9596.DSG_RAWD_HMS_19_30_ 0__DMY_ 8_ 9_15.wav,2.8249,1.7313,1,1,2,2.0,
61,Waveform 1,1,3.2,232.8,9596.DSG_RAWD_HMS_19_30_ 0__DMY_ 8_ 9_15.wav,4.4204,6.2172,2,1,2,1.0,
62,Waveform 1,1,1.6,200.9,9597.DSG_RAWD_HMS_19_35_ 0__DMY_ 8_ 9_15.wav,2.9943,1.2857,2,1,1,2.0,
63,Waveform 1,1,0.0,223.2,9596.DSG_RAWD_HMS_19_30_ 0__DMY_ 8_ 9_15.wav,10.622,10.6458,6,1,1,,
