Selection	View	Channel	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	calls overlap	call cutoff @ end	Notes
14	Spectrogram 1	1	383.3838828	37.347	135.384	0286.DSG_RAWD_HMS_17_10_ 0__DMY_20_ 7_16.wav	3.6572	6.9907	1	2	2	1	
15	Waveform 1	1	394.9008249	0	231.864	0288.DSG_RAWD_HMS_17_20_ 0__DMY_20_ 7_16.wav	0.2353	0.6304	3	1	2	2	
15	Spectrogram 1	1	394.9008249	0	231.864	0288.DSG_RAWD_HMS_17_20_ 0__DMY_20_ 7_16.wav	0.2353	0.6304	3	1	2	2	
16	Waveform 1	1	1001.429909	32.679	197.629	0344.DSG_RAWD_HMS_22_ 0_ 0__DMY_20_ 7_16.wav	3.5396	7.068	1	2	2	1	
16	Spectrogram 1	1	1001.429909	32.679	197.629	0344.DSG_RAWD_HMS_22_ 0_ 0__DMY_20_ 7_16.wav	3.5396	7.068	1	2	2	1	
17	Waveform 1	1	1183.843944	0	178.955	0362.DSG_RAWD_HMS_23_30_ 0__DMY_20_ 7_16.wav	0.1711	1.1576	3	1	2	2	
17	Spectrogram 1	1	1183.843944	0	178.955	0362.DSG_RAWD_HMS_23_30_ 0__DMY_20_ 7_16.wav	0.1711	1.1576	3	1	2	2	
20	Waveform 1	1	1544.603275	46.684	157.169	0395.DSG_RAWD_HMS_ 2_15_ 0__DMY_21_ 7_16.wav	2.7803	7.871	1	3	2	1	
20	Spectrogram 1	1	1544.603275	46.684	157.169	0395.DSG_RAWD_HMS_ 2_15_ 0__DMY_21_ 7_16.wav	2.7803	7.871	1	3	2	1	
21	Waveform 1	1	1579.998442	0	253.65	0399.DSG_RAWD_HMS_ 2_35_ 0__DMY_21_ 7_16.wav	0.1818	3.2663	3	2	2	2	
21	Spectrogram 1	1	1579.998442	0	253.65	0399.DSG_RAWD_HMS_ 2_35_ 0__DMY_21_ 7_16.wav	0.1818	3.2663	3	2	2	2	
22	Waveform 1	1	1581.313745	0	199.185	0399.DSG_RAWD_HMS_ 2_35_ 0__DMY_21_ 7_16.wav	0.1925	4.5709	3	2	2	2	
22	Spectrogram 1	1	1581.313745	0	199.185	0399.DSG_RAWD_HMS_ 2_35_ 0__DMY_21_ 7_16.wav	0.1925	4.5709	3	2	2	2	
23	Waveform 1	1	1717.152468	0	216.302	0412.DSG_RAWD_HMS_ 3_40_ 0__DMY_21_ 7_16.wav	0.2032	1.9541	3	3	2	2	
23	Spectrogram 1	1	1717.152468	0	216.302	0412.DSG_RAWD_HMS_ 3_40_ 0__DMY_21_ 7_16.wav	0.2032	1.9541	3	3	2	2	
24	Waveform 1	1	1904.137892	35.791	191.404	0429.DSG_RAWD_HMS_ 5_ 5_ 0__DMY_21_ 7_16.wav	3.069	4.6209	1	2	2	2	
24	Spectrogram 1	1	1904.137892	35.791	191.404	0429.DSG_RAWD_HMS_ 5_ 5_ 0__DMY_21_ 7_16.wav	3.069	4.6209	1	2	2	2	
25	Waveform 1	1	2010.705958	0	200.741	0439.DSG_RAWD_HMS_ 5_55_ 0__DMY_21_ 7_16.wav	0.278	7.4839	3	1	2	2	
25	Spectrogram 1	1	2010.705958	0	200.741	0439.DSG_RAWD_HMS_ 5_55_ 0__DMY_21_ 7_16.wav	0.278	7.4839	3	1	2	2	
26	Waveform 1	1	2161.128061	0	219.415	0453.DSG_RAWD_HMS_ 7_ 5_ 0__DMY_21_ 7_16.wav	0.2032	8.8865	3	2	2	2	
26	Spectrogram 1	1	2161.128061	0	219.415	0453.DSG_RAWD_HMS_ 7_ 5_ 0__DMY_21_ 7_16.wav	0.2032	8.8865	3	2	2	2	
27	Waveform 1	1	2197.966853	0	154.057	0457.DSG_RAWD_HMS_ 7_25_ 0__DMY_21_ 7_16.wav	0.2673	3.0627	3	2	2	2	
27	Spectrogram 1	1	2197.966853	0	154.057	0457.DSG_RAWD_HMS_ 7_25_ 0__DMY_21_ 7_16.wav	0.2673	3.0627	3	2	2	2	
28	Waveform 1	1	2316.086619	0	180.511	0468.DSG_RAWD_HMS_ 8_20_ 0__DMY_21_ 7_16.wav	0.246	4.0583	3	2	2	2	
28	Spectrogram 1	1	2316.086619	0	180.511	0468.DSG_RAWD_HMS_ 8_20_ 0__DMY_21_ 7_16.wav	0.246	4.0583	3	2	2	2	
29	Waveform 1	1	2437.414443	42.016	194.517	0479.DSG_RAWD_HMS_ 9_15_ 0__DMY_21_ 7_16.wav	2.7696	5.7168	1	3	2	2	
29	Spectrogram 1	1	2437.414443	42.016	194.517	0479.DSG_RAWD_HMS_ 9_15_ 0__DMY_21_ 7_16.wav	2.7696	5.7168	1	3	2	2	
30	Waveform 1	1	2500.240979	20.23	144.72	0485.DSG_RAWD_HMS_ 9_45_ 0__DMY_21_ 7_16.wav	3.8604	3.555	2	2	2	2	
30	Spectrogram 1	1	2500.240979	20.23	144.72	0485.DSG_RAWD_HMS_ 9_45_ 0__DMY_21_ 7_16.wav	3.8604	3.555	2	2	2	2	
31	Waveform 1	1	2545.848594	37.347	197.629	0489.DSG_RAWD_HMS_10_ 5_ 0__DMY_21_ 7_16.wav	2.9621	7.0529	1	2	2	2	
31	Spectrogram 1	1	2545.848594	37.347	197.629	0489.DSG_RAWD_HMS_10_ 5_ 0__DMY_21_ 7_16.wav	2.9621	7.0529	1	2	2	2	
32	Waveform 1	1	2565.299902	0	199.185	0491.DSG_RAWD_HMS_10_15_ 0__DMY_21_ 7_16.wav	0.1925	7.9746	3	2	2	2	
32	Spectrogram 1	1	2565.299902	0	199.185	0491.DSG_RAWD_HMS_10_15_ 0__DMY_21_ 7_16.wav	0.1925	7.9746	3	2	2	2	
33	Waveform 1	1	2627.214797	31.123	146.276	0497.DSG_RAWD_HMS_10_45_ 0__DMY_21_ 7_16.wav	3.8711	2.3133	1	2	2	2	
33	Spectrogram 1	1	2627.214797	31.123	146.276	0497.DSG_RAWD_HMS_10_45_ 0__DMY_21_ 7_16.wav	3.8711	2.3133	1	2	2	2	
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
